time,open,high,low,close,volumn
2018-05-12 00:00:00,689.41,694.8,677.0,681.04,7504.06964
2018-05-12 01:00:00,681.69,689.45,676.36,685.32,4213.07093
2018-05-12 02:00:00,685.32,693.46,685.17,688.97,3907.03179
2018-05-12 03:00:00,688.97,692.06,668.0,673.31,8061.81352
2018-05-12 04:00:00,673.31,678.0,663.0,669.45,6901.29794
2018-05-12 05:00:00,669.3,682.42,667.21,677.74,4710.85113
2018-05-12 06:00:00,678.0,685.1,672.09,676.96,3722.45698
2018-05-12 07:00:00,676.96,687.0,676.16,685.16,3325.806
2018-05-12 08:00:00,684.6,685.15,677.35,681.52,2702.92391
2018-05-12 09:00:00,681.52,685.93,680.1,682.43,2252.30223
2018-05-12 10:00:00,682.45,684.67,672.91,675.45,3342.5992
2018-05-12 11:00:00,675.45,680.01,670.01,671.0,2769.11894
2018-05-12 12:00:00,670.96,673.33,653.0,653.65,11538.66301
2018-05-12 13:00:00,653.65,654.5,633.2,647.0,20433.37867
2018-05-12 14:00:00,646.11,654.96,640.0,653.58,7627.00051
